Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Gender_Male,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Department_Research & Development,Department_Sales,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
42,1,691,8,4,3,48,3,2,2,0,11,3,4,1,10,2,3,9,7,4,2,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
44,1,477,7,4,1,42,2,3,4,3,14,3,4,1,24,4,3,22,6,5,17,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,1,705,2,4,2,83,3,5,1,3,12,3,4,0,22,2,2,2,2,2,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,1,924,2,3,3,78,3,1,4,4,11,3,4,0,7,3,3,1,1,0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,1,1459,10,4,4,41,3,2,4,2,13,3,4,0,9,5,4,4,2,1,3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,1,125,9,2,4,83,2,1,3,1,13,3,1,0,10,5,3,10,0,1,8,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,0,895,5,3,4,56,3,2,4,3,14,3,3,1,19,6,4,1,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
24,0,813,1,3,2,61,3,1,4,2,16,3,1,1,6,2,2,2,0,2,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
43,1,1273,2,2,4,72,4,1,3,1,12,3,4,2,6,3,2,5,3,1,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50,0,869,3,2,1,86,2,1,3,1,14,3,3,0,3,2,3,3,2,0,2,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
35,1,890,2,3,4,97,3,1,4,1,13,3,1,0,2,3,3,2,2,2,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
36,1,852,5,4,2,82,2,1,1,9,14,3,4,1,6,3,4,1,1,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
33,1,1141,1,3,3,42,4,2,1,2,19,3,1,2,10,3,3,5,3,1,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
35,1,464,4,2,3,75,3,1,4,1,12,3,3,1,1,3,3,1,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1,1240,2,4,4,33,3,1,1,1,13,3,4,1,1,6,3,1,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,1357,25,3,1,48,1,1,3,1,12,3,3,0,1,2,2,1,0,0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,1,994,8,3,4,37,3,3,3,1,15,3,4,0,9,0,3,9,8,1,7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
30,1,721,1,2,3,58,3,2,4,1,23,4,4,0,12,2,3,12,8,3,7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,0,1360,12,3,2,49,3,5,3,1,12,3,4,0,23,0,3,22,15,15,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
34,1,1065,23,4,2,72,3,2,3,0,20,4,3,0,10,2,3,9,5,8,7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
37,1,408,19,2,2,73,3,1,2,4,21,4,1,0,8,1,3,1,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
46,1,1211,5,4,1,98,3,2,4,4,21,4,3,0,14,4,3,9,6,0,8,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
35,1,1229,8,1,4,36,4,1,4,1,19,3,4,0,1,2,3,1,0,0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,0,626,1,2,1,98,2,3,3,9,13,3,4,0,23,2,3,1,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,0,1434,5,4,3,50,3,1,3,1,13,3,3,0,2,3,2,2,2,2,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,1,1488,1,5,2,75,3,2,1,5,21,4,3,1,9,2,2,4,3,1,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,1,1097,11,2,3,79,2,3,1,2,13,3,3,1,10,3,3,4,0,2,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,1,1443,23,3,3,47,2,2,4,7,19,3,3,1,5,2,2,2,2,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
33,1,515,1,2,1,98,3,3,4,1,12,3,3,0,15,1,3,15,14,8,12,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
35,1,853,18,5,2,71,3,3,1,1,22,4,4,1,9,3,2,9,8,1,8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
35,1,1142,23,4,3,30,3,1,1,3,15,3,3,1,4,3,3,2,2,2,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31,1,655,7,4,4,48,3,2,4,3,22,4,4,1,10,3,2,7,7,1,7,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1,1115,1,4,1,51,2,2,3,1,18,3,3,1,7,2,4,7,5,0,7,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1,427,1,3,1,33,3,2,4,1,22,4,2,1,9,3,3,9,8,7,8,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
38,1,653,29,5,4,50,3,2,4,1,11,3,4,0,10,2,3,10,3,9,9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,1,989,7,2,2,43,2,5,3,5,12,3,4,1,29,2,2,27,3,13,8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59,1,1435,25,3,1,99,3,3,1,7,11,3,4,0,28,3,2,21,16,7,9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
36,1,1223,8,3,3,59,3,3,3,1,13,3,2,3,17,2,3,17,14,12,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1,836,8,3,4,33,3,4,3,2,14,3,3,3,21,2,3,5,0,0,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1,1195,11,3,2,95,2,2,2,1,13,3,3,0,6,3,3,6,5,0,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
45,1,1339,7,3,2,59,3,3,1,2,17,3,3,1,25,2,3,1,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,1,664,1,3,2,79,3,1,1,4,13,3,4,1,5,2,2,3,2,1,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
36,0,318,9,3,4,79,2,1,3,0,17,3,1,1,2,0,2,1,0,0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
59,1,1225,1,1,1,57,2,2,3,7,11,3,4,0,20,2,2,4,3,1,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
29,1,1328,2,3,3,76,3,1,2,0,23,4,4,1,6,3,3,5,4,0,4,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
31,1,1082,1,4,3,87,3,1,2,1,17,3,2,0,1,4,3,1,1,1,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
32,1,548,1,3,2,66,3,2,2,1,17,3,2,2,10,3,3,10,4,0,9,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
36,1,132,6,3,2,55,4,1,4,3,12,3,2,0,5,3,3,1,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31,1,746,8,4,3,61,3,2,4,1,23,4,4,0,11,2,3,11,7,1,8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
35,1,776,1,4,3,32,2,2,1,0,14,3,2,0,16,2,3,15,13,2,8,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
45,1,193,6,4,4,52,3,3,1,4,14,3,2,0,17,3,4,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
37,1,397,7,4,1,30,3,3,3,4,13,3,1,0,16,3,4,5,2,0,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
46,1,945,5,2,2,80,3,2,2,8,22,4,4,1,16,2,3,4,2,0,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1,852,1,1,4,55,2,2,4,1,12,3,3,2,10,1,2,10,8,3,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,1,1214,1,3,2,30,2,1,3,1,18,3,1,0,6,3,3,6,4,0,4,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
55,1,111,1,2,1,70,3,3,4,3,14,3,4,1,24,4,3,1,0,1,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
38,1,573,6,3,2,79,1,2,4,7,12,3,4,3,17,3,3,13,11,1,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34,1,1153,1,2,1,94,3,2,2,1,15,3,3,0,5,2,3,5,2,1,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
56,1,1400,7,3,4,49,1,3,4,4,11,3,1,0,37,3,2,6,4,0,2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
23,1,541,2,1,3,62,3,1,1,3,13,3,3,1,3,3,3,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
51,1,432,9,4,4,96,3,1,4,3,23,4,2,2,10,4,3,4,2,0,3,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,1,288,2,3,3,99,2,2,4,1,19,3,1,3,11,3,3,11,10,10,8,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,0,669,9,2,3,64,2,3,4,1,16,3,4,0,9,3,3,9,8,4,7,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
40,1,530,1,4,3,78,2,4,2,1,22,4,4,1,22,3,2,22,3,11,11,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51,1,632,21,4,3,71,3,2,4,0,22,4,4,0,11,2,1,10,7,1,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
30,1,1334,4,2,3,63,2,2,2,1,12,3,2,3,11,4,2,11,8,2,7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,1,638,1,3,3,40,2,3,1,2,13,3,3,1,21,5,2,10,9,9,5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,1,1093,6,4,2,87,3,2,3,1,16,3,1,0,12,0,3,11,8,5,7,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
54,1,1217,2,4,1,60,3,3,3,9,12,3,1,1,16,5,1,4,3,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
24,1,1353,3,2,1,33,3,2,3,0,21,4,1,1,4,2,2,3,2,0,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
28,1,120,4,3,2,43,3,2,3,1,15,3,2,0,5,3,4,5,4,0,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
58,1,682,10,4,4,37,3,4,3,0,13,3,3,0,38,1,2,37,10,1,8,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
44,1,489,23,3,2,67,3,2,2,4,12,3,3,1,17,3,4,3,2,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37,0,807,6,4,3,63,3,1,1,4,22,4,4,0,7,3,3,3,2,0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1,827,1,1,4,71,3,1,1,1,13,3,4,0,1,2,3,1,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20,0,871,6,3,4,66,2,1,4,1,18,3,2,0,1,5,3,1,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,1,665,6,4,1,41,3,2,3,1,14,3,3,0,16,3,3,16,13,2,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
37,1,1040,2,2,3,100,2,2,4,5,14,3,4,1,17,2,4,1,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
