Age,Attrition,DistanceFromHome,Education,HourlyRate,JobInvolvement,JobLevel,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverallSatisfaction,TenureRatio,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Gender_Male,Department_Research & Development,Department_Sales,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
32,1,5,2,80,4,1,0,1,12,3,2,2,0,5,2.25,0.8571428571428571,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,1,16,2,96,4,1,1,1,13,3,2,0,0,0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1,2,4,78,2,4,2,0,16,3,0,8,3,7,2.75,0.8064516129032258,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38,1,2,3,45,3,1,5,1,11,3,0,2,1,2,3.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
24,1,11,2,96,4,2,0,0,18,3,1,2,1,3,2.5,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,9,4,82,2,1,7,0,23,4,0,3,0,3,2.25,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
34,1,7,4,53,3,3,0,0,11,3,0,6,2,11,2.25,0.9230769230769231,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
21,1,15,2,96,3,1,1,0,14,3,0,0,0,0,3.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
34,0,6,1,83,3,1,2,0,11,3,0,2,1,3,2.25,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
53,1,5,3,58,3,5,4,0,11,3,1,13,4,8,3.0,0.5384615384615384,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,16,1,72,1,1,1,1,22,4,0,2,6,7,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
42,1,8,4,48,3,2,0,0,11,3,1,7,4,2,3.0,0.9,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
44,1,7,4,42,2,3,3,0,14,3,1,6,5,17,3.0,0.9166666666666666,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,1,2,4,83,3,5,3,0,12,3,0,2,2,1,2.25,0.09090909090909091,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,1,2,3,78,3,1,4,0,11,3,0,1,0,0,3.5,0.14285714285714285,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,1,10,4,41,3,2,2,1,13,3,0,2,1,3,4.0,0.4444444444444444,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,1,9,2,83,2,1,1,0,13,3,0,0,1,8,2.75,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,0,5,3,56,3,2,3,0,14,3,1,0,0,0,3.75,0.05263157894736842,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
24,0,1,3,61,3,1,2,1,16,3,1,0,2,0,2.25,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
43,1,2,2,72,4,1,1,0,12,3,2,3,1,4,3.25,0.8333333333333334,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50,0,3,2,86,2,1,1,1,14,3,0,2,0,2,2.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
35,1,2,3,97,3,1,1,0,13,3,0,2,2,2,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
36,1,5,4,82,2,1,9,1,14,3,1,1,0,0,2.75,0.16666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
33,1,1,3,42,4,2,2,0,19,3,2,3,1,3,2.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
35,1,4,2,75,3,1,1,0,12,3,1,0,0,0,3.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1,2,4,33,3,1,1,0,13,3,1,0,0,0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,25,3,48,1,1,1,0,12,3,0,0,0,1,2.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,1,8,3,37,3,3,1,0,15,3,0,8,1,7,3.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
30,1,1,2,58,3,2,1,0,23,4,0,8,3,7,3.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,0,12,3,49,3,5,1,0,12,3,0,15,15,8,3.0,0.9565217391304348,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
34,1,23,4,72,3,2,0,0,20,4,0,5,8,7,2.75,0.9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
37,1,19,2,73,3,1,4,0,21,4,0,0,0,0,2.0,0.125,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
46,1,5,4,98,3,2,4,1,21,4,0,6,0,8,2.75,0.6428571428571429,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
35,1,8,1,36,4,1,1,0,19,3,0,0,0,1,3.75,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,0,1,2,98,2,3,9,1,13,3,0,0,0,0,2.75,0.043478260869565216,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,0,5,4,50,3,1,1,1,13,3,0,2,2,2,2.75,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,1,1,5,75,3,2,5,1,21,4,1,3,1,3,2.0,0.4444444444444444,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,1,11,2,79,2,3,2,1,13,3,1,0,2,3,2.5,0.4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,1,23,3,47,2,2,7,1,19,3,1,2,0,0,3.0,0.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
33,1,1,2,98,3,3,1,1,12,3,0,14,8,12,2.75,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
35,1,18,5,71,3,3,1,0,22,4,1,8,1,8,2.25,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
35,1,23,4,30,3,1,3,1,15,3,1,2,2,2,2.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31,1,7,4,48,3,2,3,0,22,4,1,7,1,7,3.5,0.7,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1,1,4,51,2,2,1,0,18,3,1,5,0,7,2.75,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1,1,3,33,3,2,1,1,22,4,1,8,7,8,2.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
38,1,29,5,50,3,2,1,0,11,3,0,3,9,9,3.75,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,1,7,2,43,2,5,5,1,12,3,1,3,13,8,2.75,0.9310344827586207,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
59,1,25,3,99,3,3,7,0,11,3,0,16,7,9,2.0,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
36,1,8,3,59,3,3,1,0,13,3,3,14,12,8,2.75,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1,8,3,33,3,4,2,1,14,3,3,0,0,2,3.25,0.23809523809523808,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1,11,3,95,2,2,1,0,13,3,0,5,0,3,2.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
45,1,7,3,59,3,3,2,0,17,3,1,0,0,0,2.25,0.04,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,1,1,3,79,3,1,4,0,13,3,1,2,1,2,2.25,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
36,0,9,3,79,2,1,0,1,17,3,1,0,0,0,2.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
59,1,1,1,57,2,2,7,0,11,3,0,3,1,3,2.5,0.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
29,1,2,3,76,3,1,0,0,23,4,1,4,0,4,3.0,0.8333333333333334,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
31,1,1,4,87,3,1,1,0,17,3,0,1,1,0,2.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
32,1,1,3,66,3,2,1,0,17,3,2,4,0,9,2.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
36,1,6,3,55,4,1,3,0,12,3,0,0,0,0,2.75,0.2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31,1,8,4,61,3,2,1,0,23,4,0,7,1,8,3.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
35,1,1,4,32,2,2,0,0,14,3,0,13,2,8,2.25,0.9375,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
45,1,6,4,52,3,3,4,1,14,3,0,0,0,0,2.75,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
37,1,7,4,30,3,3,4,0,13,3,0,2,0,2,2.25,0.3125,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
46,1,5,2,80,3,2,8,1,22,4,1,2,0,2,2.75,0.25,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1,1,1,55,2,2,1,1,12,3,2,8,3,0,3.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,1,1,3,30,2,1,1,0,18,3,0,4,0,4,2.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
55,1,1,2,70,3,3,3,0,14,3,1,0,1,0,3.0,0.041666666666666664,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
38,1,6,3,79,1,2,7,1,12,3,3,11,1,9,3.25,0.7647058823529411,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34,1,1,2,94,3,2,1,0,15,3,0,2,1,3,2.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
56,1,7,3,49,1,3,4,0,11,3,0,4,0,2,2.75,0.16216216216216217,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
23,1,2,1,62,3,1,3,0,13,3,1,0,0,0,2.5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
51,1,9,4,96,3,1,3,0,23,4,2,2,0,3,3.25,0.4,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,1,2,3,99,2,2,1,0,19,3,3,10,10,8,2.75,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,0,9,2,64,2,3,1,0,16,3,0,8,4,7,3.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
40,1,1,4,78,2,4,1,0,22,4,1,3,11,11,2.75,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51,1,21,4,71,3,2,0,1,22,4,0,7,1,0,3.0,0.9090909090909091,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
30,1,4,2,63,2,2,1,1,12,3,3,8,2,7,2.25,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,1,1,3,40,2,3,2,1,13,3,1,9,9,5,2.25,0.47619047619047616,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,1,6,4,87,3,2,1,0,16,3,0,8,5,7,2.25,0.9166666666666666,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
54,1,2,4,60,3,3,9,0,12,3,1,3,0,3,1.5,0.25,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
24,1,3,2,33,3,2,0,0,21,4,1,2,0,2,1.75,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
28,1,4,3,43,3,2,1,0,15,3,0,4,0,4,2.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
58,1,10,4,37,3,4,0,0,13,3,0,10,1,8,3.0,0.9736842105263158,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
44,1,23,3,67,3,2,4,0,12,3,1,2,1,2,2.75,0.17647058823529413,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37,0,6,4,63,3,1,4,1,22,4,0,2,0,2,2.75,0.42857142857142855,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1,1,1,71,3,1,1,0,13,3,0,0,0,0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20,0,6,3,66,2,1,1,1,18,3,0,0,1,0,3.25,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,1,6,4,41,3,2,1,0,14,3,0,13,2,10,2.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
37,1,2,2,100,2,2,5,0,14,3,1,0,0,0,3.75,0.058823529411764705,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,1,2,4,32,2,5,9,0,21,4,1,2,2,2,3.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50,1,1,3,73,3,5,3,1,19,3,0,3,0,7,1.5,0.2857142857142857,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
25,0,5,3,46,2,2,1,1,11,3,0,4,0,3,3.25,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
25,1,7,1,64,2,1,1,0,11,3,2,2,2,1,3.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
22,1,15,3,59,3,1,1,0,15,3,0,0,0,0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,1,1,4,30,2,3,3,0,20,4,0,12,12,8,1.75,0.5652173913043478,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,0,7,3,66,1,2,1,1,24,4,0,7,0,6,2.75,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,1,26,3,30,4,4,2,1,12,3,0,3,4,4,3.5,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,1,18,1,52,3,1,0,0,12,3,1,3,1,2,2.75,0.8333333333333334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34,1,6,4,45,2,2,6,0,15,3,1,0,0,0,2.75,0.08333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,1,3,3,87,3,3,2,0,12,3,0,3,1,3,2.75,0.4166666666666667,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
34,1,5,3,45,2,3,2,0,12,3,0,10,5,8,2.75,0.7857142857142857,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,1,11,2,92,3,3,0,0,14,3,1,7,2,8,3.0,0.9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
36,1,3,2,39,3,1,5,0,22,4,1,0,0,0,2.25,0.14285714285714285,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1,26,2,92,3,4,1,1,12,3,2,12,4,12,3.75,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,1,23,3,96,1,1,1,0,25,4,3,7,0,9,2.25,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33,1,22,2,95,3,2,0,0,13,3,1,7,0,7,2.5,0.875,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
56,0,14,4,72,3,1,9,1,18,3,3,4,4,3,2.0,0.7142857142857143,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
51,1,6,3,51,3,5,7,0,13,3,0,18,15,15,2.5,0.8695652173913043,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
31,0,6,4,76,1,2,4,1,18,3,0,7,7,7,2.25,0.5833333333333334,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
26,1,6,3,46,2,1,1,0,19,3,0,4,4,3,2.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
58,0,23,4,94,3,3,1,0,12,3,1,10,15,6,3.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19,0,22,1,50,3,1,1,1,19,3,0,0,0,0,3.25,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
22,1,2,1,100,3,1,0,0,14,3,1,1,2,1,3.25,0.6666666666666666,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49,1,20,4,96,3,2,1,0,14,3,0,11,5,11,2.25,0.9375,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
43,1,28,3,72,4,1,4,0,12,3,0,2,1,2,3.0,0.16666666666666666,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
50,1,12,3,77,3,3,4,0,11,3,0,2,2,1,3.5,0.125,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
31,0,20,3,71,1,2,3,1,11,3,1,2,2,2,2.75,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
41,1,9,1,96,3,3,3,1,13,3,1,7,0,7,3.0,0.75,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
